no_prov;Provinsi;kelapa_sawit;Tahun
29;Gorontalo;0;2008
30;Sulawesi Barat;325.80;2008
31;Maluku;0;2008
32;Maluku Utara;0;2008
33;Papua Barat;40.00;2008
34;Papua;49.50;2008
35;Indonesia;19400.80;2008
1;Aceh;693.00;2009
2;Sumatera Utara;3862.40;2009
3;Sumatera Barat;896.30;2009
4;Riau;5311.40;2009
5;Jambi;1499.90;2009
6;Sumatera Selatan;2313.50;2009
7;Bengkulu;736.00;2009
8;Lampung;389.30;2009
9;Bangka Belitung;446.60;2009
10;Kepulauan Riau;11.30;2009
11;Jakarta Raya;0;2009
12;Jawa Barat;20.70;2009
13;Jawa Tengah;0;2009
14;Yogyakarta;0;2009
15;Jawa Timur;0;2009
16;Banten;25.10;2009
17;Bali;0;2009
18;Nusa Tenggara Barat;0;2009
19;Nusa Tenggara Timur;0;2009
20;Kalimantan Barat;1331.70;2009
21;Kalimantan Tengah;1798.10;2009
22;Kalimantan Selatan;1041.40;2009
23;Kalimantan Timur;456.40;2009
24;Kalimantan Utara;0;2009
25;Sulawesi Utara;0;2009
26;Sulawesi Tengah;144.30;2009
27;Sulawesi Selatan;28.20;2009
28;Sulawesi Tenggara;0.00;2009
29;Gorontalo;0;2009
30;Sulawesi Barat;260.50;2009
31;Maluku;0;2009
32;Maluku Utara;0;2009
33;Papua Barat;57.70;2009
34;Papua;66.70;2009
35;Indonesia;21390.50;2009
1;Aceh;616.50;2010
2;Sumatera Utara;3899.60;2010
3;Sumatera Barat;985.90;2010
4;Riau;5496.00;2010
5;Jambi;1644.10;2010
6;Sumatera Selatan;2542.80;2010
7;Bengkulu;796.00;2010
8;Lampung;405.70;2010
9;Bangka Belitung;490.20;2010
10;Kepulauan Riau;14.10;2010
11;Jakarta Raya;0;2010
12;Jawa Barat;16.40;2010
13;Jawa Tengah;0;2010
14;Yogyakarta;0;2010
15;Jawa Timur;0;2010
16;Banten;26.00;2010
17;Bali;0;2010
18;Nusa Tenggara Barat;0;2010
19;Nusa Tenggara Timur;0;2010
20;Kalimantan Barat;1426.90;2010
21;Kalimantan Tengah;1724.70;2010
22;Kalimantan Selatan;1049.20;2010
23;Kalimantan Timur;700.00;2010
24;Kalimantan Utara;0;2010
25;Sulawesi Utara;0;2010
26;Sulawesi Tengah;145.80;2010
27;Sulawesi Selatan;34.90;2010
28;Sulawesi Tenggara;15.20;2010
29;Gorontalo;0;2010
30;Sulawesi Barat;264.40;2010
31;Maluku;0;2010
32;Maluku Utara;0;2010
33;Papua Barat;66.20;2010
34;Papua;136.40;2010
35;Indonesia;22496.90;2010
1;Aceh;592.20;2011
2;Sumatera Utara;4010.70;2011
3;Sumatera Barat;927.40;2011
4;Riau;5895.50;2011
5;Jambi;1773.10;2011
6;Sumatera Selatan;2417.70;2011
7;Bengkulu;827.10;2011
8;Lampung;424.00;2011
9;Bangka Belitung;504.60;2011
10;Kepulauan Riau;15.20;2011
11;Jakarta Raya;0;2011
12;Jawa Barat;22.10;2011
13;Jawa Tengah;0;2011
14;Yogyakarta;0;2011
15;Jawa Timur;0;2011
16;Banten;21.80;2011
17;Bali;0;2011
18;Nusa Tenggara Barat;0;2011
19;Nusa Tenggara Timur;0;2011
20;Kalimantan Barat;1443.90;2011
21;Kalimantan Tengah;2499.30;2011
22;Kalimantan Selatan;1045.20;2011
23;Kalimantan Timur;905.50;2011
24;Kalimantan Utara;0;2011
25;Sulawesi Utara;0;2011
26;Sulawesi Tengah;185.10;2011
27;Sulawesi Selatan;42.70;2011
28;Sulawesi Tenggara;16.20;2011
29;Gorontalo;0;2011
30;Sulawesi Barat;249.30;2011
31;Maluku;0;2011
32;Maluku Utara;0;2011
33;Papua Barat;54.10;2011
34;Papua;103.10;2011
35;Indonesia;23975.70;2011
1;Aceh;654.80;2012
2;Sumatera Utara;3975.43;2012
3;Sumatera Barat;930.12;2012
4;Riau;6384.54;2012
5;Jambi;1718.29;2012
6;Sumatera Selatan;2492.90;2012
7;Bengkulu;802.02;2012
8;Lampung;433.82;2012
9;Bangka Belitung;504.60;2012
10;Kepulauan Riau;37.20;2012
11;Jakarta Raya;0.00;2012
12;Jawa Barat;22.72;2012
13;Jawa Tengah;0.00;2012
14;Yogyakarta;0.00;2012
15;Jawa Timur;0.00;2012
16;Banten;27.67;2012
17;Bali;0.00;2012
18;Nusa Tenggara Barat;0.00;2012
19;Nusa Tenggara Timur;0.00;2012
20;Kalimantan Barat;1830.86;2012
21;Kalimantan Tengah;2958.28;2012
22;Kalimantan Selatan;1233.08;2012
23;Kalimantan Timur;1298.14;2012
24;Kalimantan Utara;0;2012
25;Sulawesi Utara;0.00;2012
26;Sulawesi Tengah;234.08;2012
27;Sulawesi Selatan;47.18;2012
28;Sulawesi Tenggara;28.86;2012
29;Gorontalo;0.00;2012
30;Sulawesi Barat;253.73;2012
31;Maluku;0.00;2012
32;Maluku Utara;0.00;2012
33;Papua Barat;53.72;2012
34;Papua;93.48;2012
35;Indonesia;26015.52;2012
1;Aceh;817.53;2013
2;Sumatera Utara;4549.20;2013
3;Sumatera Barat;1022.33;2013
4;Riau;6647.00;2013
5;Jambi;1749.62;2013
6;Sumatera Selatan;2690.62;2013
7;Bengkulu;787.05;2013
8;Lampung;424.05;2013
9;Bangka Belitung;508.13;2013
10;Kepulauan Riau;36.77;2013
11;Jakarta Raya;0.00;2013
12;Jawa Barat;32.64;2013
13;Jawa Tengah;0.00;2013
14;Yogyakarta;0.00;2013
15;Jawa Timur;0.00;2013
16;Banten;27.08;2013
17;Bali;0.00;2013
18;Nusa Tenggara Barat;0.00;2013
19;Nusa Tenggara Timur;0.00;2013
20;Kalimantan Barat;1794.47;2013
21;Kalimantan Tengah;3127.14;2013
22;Kalimantan Selatan;1244.04;2013
23;Kalimantan Timur;1349.78;2013
24;Kalimantan Utara;164.73;2013
25;Sulawesi Utara;0.00;2013
26;Sulawesi Tengah;244.07;2013
27;Sulawesi Selatan;49.82;2013
28;Sulawesi Tenggara;71.28;2013
29;Gorontalo;0.00;2013
30;Sulawesi Barat;282.74;2013
31;Maluku;14.74;2013
32;Maluku Utara;0.00;2013
33;Papua Barat;53.72;2013
34;Papua;93.48;2013
35;Indonesia;27782.00;2013
1;Aceh;945.60;2014
2;Sumatera Utara;4870.20;2014
3;Sumatera Barat;924.80;2014
4;Riau;6993.20;2014
5;Jambi;1773.70;2014
6;Sumatera Selatan;2791.80;2014
7;Bengkulu;798.80;2014
8;Lampung;455.90;2014
9;Bangka Belitung;516.60;2014
10;Kepulauan Riau;45.00;2014
11;Jakarta Raya;0.00;2014
12;Jawa Barat;33.00;2014
13;Jawa Tengah;0.00;2014
14;Yogyakarta;0.00;2014
15;Jawa Timur;0.00;2014
16;Banten;24.30;2014
17;Bali;0.00;2014
18;Nusa Tenggara Barat;0.00;2014
19;Nusa Tenggara Timur;0.00;2014
20;Kalimantan Barat;1965.50;2014
21;Kalimantan Tengah;3158.20;2014
